route,segment,t,v_ego,long_active,d_rel,co_radar,headway_s,ttc_s,v_lead,plan_src
data,segment_18,12244017268405,5.96875,True,46.95000076293945,True,7.865968714209751,,7.599215984344482,e2e
data,segment_18,12244067270024,5.953125,True,46.95000076293945,True,7.886614301386155,,7.461156368255615,e2e
data,segment_18,12244116889325,5.953125,True,47.400001525878906,True,7.962204980725065,,7.5298075675964355,e2e
data,segment_18,12244183329382,5.9375,True,47.400001525878906,True,7.983158151726974,,7.310479164123535,e2e
data,segment_18,12244214708184,5.9364439053546665,True,47.724998474121094,True,8.039324423005697,,7.389336585998535,e2e
data,segment_18,12244267586582,5.9375,True,47.724998474121094,True,8.037894479851973,,7.092457294464111,e2e
data,segment_18,12244330470950,5.9120590376260855,True,48.20000076293945,True,8.152828051306736,,7.519920825958252,e2e
data,segment_18,12244377971860,5.90625,True,48.20000076293945,True,8.160846690021495,,7.58303165435791,e2e
data,segment_18,12244414445622,5.90625,True,48.20000076293945,True,8.160846690021495,,7.499069690704346,e2e
data,segment_18,12244466561835,5.90625,True,48.525001525878906,True,8.215873274222883,,7.9702911376953125,e2e
data,segment_18,12244514536723,5.90625,True,48.974998474121094,True,8.292063233713625,,8.240092277526855,e2e
data,segment_18,12244566731004,5.902051785027704,True,48.974998474121094,True,8.297961498467469,,8.159470558166504,e2e
data,segment_18,12244617017189,5.90625,True,49.32500076293945,True,8.351322880497685,,8.350522994995117,e2e
data,segment_18,12244666542176,5.890625,True,50.32599639892578,True,8.543405224220823,,8.052881240844727,e2e
data,segment_18,12244717098082,5.876347043957047,True,49.775001525878906,True,8.470398557734116,,8.616203308105469,e2e
data,segment_18,12244767478427,5.875,True,49.775001525878906,True,8.472340685255984,,8.660691261291504,e2e
data,segment_18,12244816544853,5.875,True,50.07500076293945,True,8.523404385181184,,8.86824893951416,e2e
data,segment_18,12244867025295,5.873486340315143,True,50.07500076293945,True,8.52560095683353,,8.870529174804688,e2e
data,segment_18,12244916832190,5.890404986494475,True,50.400001525878906,True,8.55628800420957,,9.13876724243164,e2e
data,segment_18,12244966596068,5.860532546456111,True,50.400001525878906,True,8.599901310394737,,9.1051025390625,e2e
